通し番号,popup,遺産名,lat,lon,lat-修正,lon-修正,国,種類,文化遺産,自然遺産,複合遺産,登録年,(ⅰ),(ⅱ),(ⅲ),(ⅳ),(ⅴ),(ⅵ),(ⅶ),(ⅷ),(ⅸ),(ⅹ)
1081,ヴォルビリスの考古遺跡/1997,ヴォルビリスの考古遺跡,34.07389,-5.55694,,,モロッコ王国,文化遺産,1,0,0,1997,0,1,1,1,0,1,0,0,0,0
1126,バアルベック/1984,バアルベック,34.00706667,36.20493889,,,レバノン共和国,文化遺産,1,0,0,1984,1,0,0,1,0,0,0,0,0,0
1124,アンジャル/1984,アンジャル,33.72583333,35.92972222,,,レバノン共和国,文化遺産,1,0,0,1984,0,0,1,1,0,0,0,0,0,0
453,ダマスカスの旧市街/1979,ダマスカスの旧市街,33.51138889,36.30638889,,,シリア・アラブ共和国,文化遺産,1,0,0,1979,1,1,1,1,0,1,0,0,0,0
574,済州火山島と溶岩洞窟群/2007,済州火山島と溶岩洞窟群,33.46888889,126.7202778,,,大韓民国,自然遺産,0,1,0,2007,0,0,0,0,0,0,1,1,0,0
1127,フェニキア都市ティルス/1984,フェニキア都市ティルス,33.27194444,35.19444444,,,レバノン共和国,文化遺産,1,0,0,1984,0,0,1,0,0,1,0,0,0,0
619,九寨溝：歴史的・景観的重要地区/1992,九寨溝：歴史的・景観的重要地区,33.08333333,103.9166667,,,中華人民共和国,自然遺産,0,1,0,1992,0,0,0,0,0,0,1,0,0,0
65,アッコの旧市街/2001,アッコの旧市街,32.92833333,35.08388889,,,イスラエル国,文化遺産,1,0,0,2001,0,1,1,0,1,0,0,0,0,0
69,ハイファと西ガリラヤのバハイ教聖所群/2008,ハイファと西ガリラヤのバハイ教聖所群,32.82939667,34.97164889,,,イスラエル国,文化遺産,1,0,0,2008,0,0,1,0,0,1,0,0,0,0
1111,キレーネの考古遺跡/1982,キレーネの考古遺跡,32.825,21.85833333,,,リビア,文化遺産,1,0,0,1982,0,1,1,0,0,1,0,0,0,0
1112,サブラータの考古遺跡/1982,サブラータの考古遺跡,32.80527778,12.485,,,リビア,文化遺産,1,0,0,1982,0,0,1,0,0,0,0,0,0,0
1003,マデイラ島の照葉樹林/1999,マデイラ島の照葉樹林,32.76666667,-17,,,ポルトガル共和国,自然遺産,0,1,0,1999,0,0,0,0,0,0,0,0,1,1
623,黄龍：歴史的・景観的重要地区/1992,黄龍：歴史的・景観的重要地区,32.75416667,103.8222222,,,中華人民共和国,自然遺産,0,1,0,1992,0,0,0,0,0,0,1,0,0,0
73,ベート・シェアリムのネクロポリス：ユダヤ人再興の中心地/2015,ベート・シェアリムのネクロポリス：ユダヤ人再興の中心地,32.70222222,35.12694444,,,イスラエル国,文化遺産,1,0,0,2015,0,1,1,0,0,0,0,0,0,0
148,イスファハーンのマスジェデ・ジャーメ（金曜モスク）/2012,イスファハーンのマスジェデ・ジャーメ（金曜モスク）,32.66972222,51.68527778,,,イラン・イスラム共和国,文化遺産,1,0,0,2012,0,1,0,0,0,0,0,0,0,0
30,ポヴァティ・ポイントの記念碑的土塁群/2014,ポヴァティ・ポイントの記念碑的土塁群,32.63694444,-91.40638889,,,アメリカ合衆国,文化遺産,1,0,0,2014,0,0,1,0,0,0,0,0,0,0
67,聖書ゆかりの遺丘群：メギド、ハゾル、ベエル・シェバ/2005,聖書ゆかりの遺丘群：メギド、ハゾル、ベエル・シェバ,32.59722222,35.18222222,,,イスラエル国,文化遺産,1,0,0,2005,0,1,1,1,0,1,0,0,0,0
452,隊商都市ボスラ/1980,隊商都市ボスラ,32.51805556,36.48166667,,,シリア・アラブ共和国,文化遺産,1,0,0,1980,1,0,1,0,0,1,0,0,0,0
642,武当山の道教寺院群/1994,武当山の道教寺院群,32.46666667,111,,,中華人民共和国,文化遺産,1,0,0,1994,1,1,0,0,0,1,0,0,0,0
246,バミューダ諸島：歴史的都市セント・ジョージと関連要塞群/2000,バミューダ諸島：歴史的都市セント・ジョージと関連要塞群,32.37944444,-64.67777778,,,英国（グレートブリテン及び北アイルランド連合王国）,文化遺産,1,0,0,2000,0,0,0,1,0,0,0,0,0,0
154,スーサ/2015,スーサ,32.18944444,48.25611111,,,イラン・イスラム共和国,文化遺産,1,0,0,2015,1,1,1,1,0,0,0,0,0,0
